GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0038149	1018.14231283321	1.00594332464692	0.105242768977676	9.55831297882612	1.19691785517982e-21	2.15719507607513e-19	chr3R	13398525	13401862	-	protein_coding	GILT1
FBgn0032405	78.4903385256246	1.87424079586335	0.199346046241881	9.40194616947256	5.35630166239088e-21	9.4566052410905e-19	chr2L	12063456	12066775	-	protein_coding	firl
FBgn0053307	1010.98028776145	-1.29014735261273	0.137625839501941	-9.37431050216794	6.96293672034091e-21	1.20472731135338e-18	chr2L	13839261	13841520	-	protein_coding	CG33307
FBgn0260011	88.6331651653228	1.81572338656553	0.194385146329658	9.3408545912569	9.55596625855109e-21	1.62095419809266e-18	chr2L	14047581	14048863	+	protein_coding	NimC4
FBgn0001137	453.066330601041	-1.25241339332357	0.134178700870011	-9.33392099642462	1.02025102510695e-20	1.69734454196158e-18	chr2L	8431085	8433598	-	protein_coding	grk
FBgn0259715	786.375853648377	-1.54827053411107	0.166417354386635	-9.30354012547271	1.35845625974182e-20	2.21735945340123e-18	chr2L	6395852	6397249	-	protein_coding	CG42369
FBgn0261584	177.84495299026	-1.70334123394631	0.185446714564915	-9.18507096738054	4.11256047253615e-20	6.4686837541655e-18	chr2R	22941876	22945147	+	protein_coding	CG42694
FBgn0001225	408.564940985345	1.20992591299099	0.131933980705662	9.17069208796387	4.69991768934927e-20	7.26053355902867e-18	chr3L	9376417	9377427	-	protein_coding	Hsp26
FBgn0031322	393.266829304385	-1.30853970934271	0.142853579350138	-9.16000645762924	5.18942118646081e-20	7.87608468141623e-18	chr2L	1185756	1196807	+	protein_coding	CG5001
FBgn0024315	91.0209207850807	-1.78552526202492	0.195038900309259	-9.15471354275347	5.45022155610366e-20	8.12928735894014e-18	chr2R	16655322	16667675	-	protein_coding	Picot
FBgn0033367	15104.0088463228	1.25379694398423	0.141213855525082	8.87871051549571	6.76398864327935e-19	9.43794608919511e-17	chr2R	9042260	9044709	-	protein_coding	PPO2
FBgn0002868	111.797258434109	-1.66083889783818	0.188200243821223	-8.82484987328636	1.09606744773849e-18	1.5050919826009e-16	chr3R	9783406	9784370	-	protein_coding	MtnA
FBgn0000406	263.086148623517	-1.64818798401774	0.188242582544319	-8.75565964799542	2.0291318291136e-18	2.74281553963465e-16	chr2L	16788773	16790721	-	protein_coding	Cyt-b5-r
FBgn0039257	568.174632091314	-1.01807431058126	0.117380278174527	-8.67329952198224	4.19775872913961e-18	5.58689396396719e-16	chr3R	24984383	25022867	+	protein_coding	tnc
FBgn0036985	1903.93933139776	-1.20371907956326	0.139218419938369	-8.64626304548019	5.32133704519849e-18	6.97498284515336e-16	chr3L	20413603	20424309	+	protein_coding	zye
FBgn0265276	151.2594530435	1.53518830951304	0.17787485101128	8.63072154824007	6.09661395054925e-18	7.75614813032376e-16	chr3R	11765037	11779128	-	protein_coding	l(3)neo38
FBgn0063498	325.89377303059	-1.22028683983134	0.145021473835454	-8.41452515657037	3.94489612848014e-17	4.67497211061393e-15	chr2R	18399485	18400375	+	protein_coding	GstE2
FBgn0032004	957.687599856007	-1.07963950080585	0.12907720849639	-8.36429229747441	6.04768222796696e-17	7.07006742623543e-15	chr2L	8216850	8218017	-	protein_coding	CG8292
FBgn0267992	391.831546479157	-1.51539741334996	0.181500693226444	-8.34926515382131	6.86889777561238e-17	7.92304462090969e-15	chr2L	500872	502236	-	ncRNA	lncRNA:CR46259
FBgn0033635	2555.50758920745	1.07745907537145	0.129092456132207	8.34641393969601	7.03668738293975e-17	8.00978717760681e-15	chr2R	11436242	11442216	+	protein_coding	Prip
FBgn0031327	754.77772544817	1.10542569831431	0.13280641450273	8.32358664642352	8.53408410339354e-17	9.58809890629318e-15	chr2L	1240035	1243018	+	protein_coding	CG5397
FBgn0051642	105.814150926438	1.55653951095153	0.188558004687061	8.25496384274337	1.51948233598361e-16	1.68526175494798e-14	chr2L	6118511	6120522	+	protein_coding	CG31642
FBgn0030041	83.4773128346127	-1.80878654057447	0.219761580453651	-8.23067679455443	1.86158629847552e-16	2.03855481874832e-14	chrX	8467442	8469012	-	protein_coding	CG12116
FBgn0039479	172.821357539012	1.29482305466734	0.158363452152786	8.17627449430769	2.92754649311327e-16	3.12669193974357e-14	chr3R	27075869	27082818	+	protein_coding	CG14257
FBgn0263232	301.536196788606	1.16270197858098	0.143178489628321	8.12064704411433	4.63704772519635e-16	4.83314456273176e-14	chr3L	13965202	13973067	+	protein_coding	Nxf3
FBgn0037153	131.082272175729	1.43566774181307	0.177593100558449	8.08402881248517	6.2661518066829e-16	6.45339039043021e-14	chr3L	22136089	22247702	+	protein_coding	olf413
FBgn0034885	161.413779412121	1.33893941288017	0.16948108467503	7.90022919340828	2.78391052175215e-15	2.7682310257101e-13	chr2R	23607591	23614710	-	protein_coding	Eglp4
FBgn0034389	114.90357820749	-1.53727223152668	0.196525064255737	-7.82227059611205	5.1878939796783e-15	5.0427495301345e-13	chr2R	18761757	18774824	+	protein_coding	Mctp
FBgn0000116	643.215027620601	1.06963558502114	0.138180260276255	7.74087111200028	9.87379535658567e-15	9.49091151442474e-13	chr3L	9048780	9066027	-	protein_coding	Argk
FBgn0023549	188.177773216398	-1.27281783821612	0.175005065320197	-7.27303427410693	3.51501090902919e-13	3.07155145192036e-11	chrX	2189187	2205373	+	protein_coding	Mct1
FBgn0261284	51.4229233597556	1.550164518074	0.217832232142389	7.11632297400649	1.10844383610725e-12	8.87884039459609e-11	chrX	6986485	6987188	+	protein_coding	bou
FBgn0052625	150.210306514425	1.28952134374476	0.18167811637318	7.09783527860886	1.26726094753562e-12	9.96643132466425e-11	chrX	13756163	13756826	-	protein_coding	CG32625
FBgn0038528	155.784873264201	1.19951651967007	0.169264901307569	7.08662286394766	1.37424213592932e-12	1.07104222684005e-10	chr3R	17619099	17619688	+	protein_coding	CG14326
FBgn0050463	43.1612480103141	1.58309828245352	0.224799745942889	7.04226010493672	1.89146310878129e-12	1.42287368296234e-10	chr2R	16673234	16732916	-	protein_coding	Pgant9
FBgn0000567	253.932072621603	-1.08652036164523	0.155096531986147	-7.00544588413028	2.46200483877172e-12	1.78981545043817e-10	chr3L	17558671	17619325	-	protein_coding	Eip74EF
FBgn0034438	73.6477679784184	1.40492230971529	0.20091038898903	6.99278079538237	2.69490409549561e-12	1.94280127751105e-10	chr2R	19367247	19373702	-	protein_coding	CG9416
FBgn0038198	62.108502781896	1.52384613926662	0.218684451579458	6.96824181262351	3.2092627949225e-12	2.29449028420451e-10	chr3R	14089516	14092425	+	protein_coding	Npc2b
FBgn0043364	1143.9544715076	-1.0080696082995	0.146669315479737	-6.87307774637269	6.28312992996805e-12	4.31391722413917e-10	chr2L	476445	479688	-	protein_coding	cbt
FBgn0037646	40.5200264626335	-1.55336139504053	0.229798319964354	-6.75967254800418	1.38303960295932e-11	9.06414818575838e-10	chr3R	8980859	8982793	+	protein_coding	CAHbeta
FBgn0034718	488.368539791061	1.14240952177154	0.169038044432946	6.75829826122196	1.39621882141373e-11	9.08172107071441e-10	chr2R	22298213	22311937	-	protein_coding	wdp
FBgn0031703	88.7187395957919	-1.38801391833759	0.205893685340146	-6.74141082104838	1.5685599993983e-11	9.96730069496055e-10	chr2L	5339131	5342234	-	protein_coding	CG12512
FBgn0033065	29.7436358354011	1.5553104133391	0.233145784165	6.67097807026349	2.54104194250893e-11	1.53724152759754e-09	chr2R	6173683	6176195	+	protein_coding	Cyp6w1
FBgn0024984	117.679403305754	1.16848678235437	0.176703520219341	6.61269668484216	3.7738120042629e-11	2.22090120060397e-09	chrX	2187819	2188919	+	protein_coding	CG3457
FBgn0031547	266.309775541423	-1.17444636143586	0.181232159475446	-6.48034192626267	9.15149874634695e-11	4.94810097841547e-09	chr2L	3522520	3524056	-	protein_coding	Sr-CIV
FBgn0267635	176.565094178472	1.04538476711171	0.164594201723655	6.35128550194528	2.13522994966436e-10	1.09301031328677e-08	chr3L	20404269	20407558	+	ncRNA	lncRNA:CR45973
FBgn0033775	46.2344311814749	1.38551806521409	0.218762127096459	6.33344575500113	2.39745621338618e-10	1.21288852058502e-08	chr2R	12840812	12842558	-	protein_coding	Cyp9h1
FBgn0033724	152.113964994451	1.14790616375502	0.184495546652541	6.22186380420802	4.91283425020803e-10	2.3352158845357e-08	chr2R	12383044	12384520	+	protein_coding	CG8501
FBgn0035344	76.8633213284638	-1.23392590459841	0.199417454129517	-6.18765247999308	6.10667681696512e-10	2.84026135180458e-08	chr3L	2476258	2478448	-	protein_coding	Cyp4d20
FBgn0267252	106.908419399831	-1.13170550005998	0.183541014694473	-6.16595425248054	7.00593389463635e-10	3.2238475597074e-08	chr2L	9256562	9302494	+	protein_coding	Ggamma30A
FBgn0032638	127.181816828965	-1.15001461035922	0.187385229795509	-6.13716786330609	8.40056078917026e-10	3.76545343974673e-08	chr2L	17454262	17455923	-	protein_coding	SPH93
FBgn0031258	144.272042695933	-1.08185091443132	0.178535372330196	-6.0595886423586	1.36470104638724e-09	5.93267776497288e-08	chr2L	458875	472200	-	protein_coding	CG4297
FBgn0033782	157.571372881534	-1.09183419849561	0.181459603434085	-6.01695461597443	1.77728882756098e-09	7.61154735011389e-08	chr2R	12924566	12930644	+	protein_coding	sug
FBgn0039640	72.4661209150608	-1.24106483203948	0.208144703048553	-5.96250980141434	2.48392746973549e-09	1.03309887214816e-07	chr3R	29138661	29145787	+	protein_coding	CG14516
FBgn0035727	67.8155455971664	1.20862678117619	0.203307310753517	5.94482695529575	2.76749056638225e-09	1.12931890989495e-07	chr3L	6971578	6972467	-	protein_coding	CG10063
FBgn0030598	37.7032368701724	1.337877853778	0.2267928707935	5.89911776810729	3.65450331374457e-09	1.45869384607058e-07	chrX	14919251	14923493	-	protein_coding	CG9503
FBgn0263041	109.590839178953	-1.20135517734007	0.207593733408368	-5.78704933725925	7.16335444045978e-09	2.74204333028396e-07	chr3R	15637167	15638181	+	protein_coding	CG43336
FBgn0020248	35.9047135379435	1.26566552186407	0.225997956765416	5.60034055165298	2.13931106130954e-08	7.55395101689339e-07	chr3L	1475437	1489547	-	protein_coding	stet
FBgn0013680	77.348280515649	1.27422365710987	0.229629769706279	5.54903512179512	2.87250474436322e-08	1.00201768320509e-06	chrM	239	1263	+	protein_coding	mt:ND2
FBgn0000079	158.98640027863	-1.00042945394423	0.181643484747675	-5.50765393723836	3.63647380554002e-08	1.25836539566907e-06	chr2R	17118635	17120303	-	protein_coding	Amy-p
FBgn0013688	23.9087109850574	1.24428187016574	0.229178236816384	5.42931950018732	5.65693330918571e-08	1.9266980337703e-06	chrM	14130	14916	-	rRNA	mt:srRNA
FBgn0034391	66.0378425327785	1.11602046778702	0.207833070612508	5.36979251905376	7.88272794431666e-08	2.61277699027906e-06	chr2R	18783298	18794594	+	protein_coding	CG15080
FBgn0003447	37.2978097085874	1.21754223470981	0.227595540008853	5.34958740695205	8.81549767539615e-08	2.91079657976535e-06	chrX	7964023	7986601	+	protein_coding	sn
FBgn0039593	42.7449357068055	1.18707602922569	0.224799413124937	5.28060110444304	1.28760747257139e-07	4.17194466112923e-06	chr3R	28670703	28672021	+	protein_coding	Sid
FBgn0031548	53.8024794609611	-1.16786901635155	0.222731369012903	-5.24339710893573	1.57646736689273e-07	5.05111821888482e-06	chr2L	3525130	3527588	+	protein_coding	CG8852
FBgn0025836	86.1832446436104	-1.03220513861333	0.202217412499123	-5.10443253059527	3.31788619743281e-07	1.00010569665475e-05	chrX	127448	140340	+	protein_coding	RhoGAP1A
FBgn0039485	60.1810752444052	1.05307234454137	0.207381800528703	5.07794002104646	3.81549096157623e-07	1.13428908276962e-05	chr3R	27101229	27102917	+	protein_coding	CG17189
FBgn0265512	67.4374958700712	-1.1548613856514	0.229555536108251	-5.03085835014147	4.88288814492988e-07	1.41277141611332e-05	chr2R	10155915	10158931	-	protein_coding	mlt
FBgn0037223	24.4741471885672	-1.08488785981367	0.234310590144307	-4.63012729875124	3.65440996762495e-06	9.40901804462007e-05	chr3R	4243605	4245511	+	pseudogene	TwdlU
FBgn0037678	34.3091898550503	1.01398504397829	0.23151825064874	4.37971970303417	1.18832060433087e-05	0.000271961945716042	chr3R	9330884	9331885	-	protein_coding	CG16749
